Year,inci_00,inci_25,inci_50,inci_38,prev_00,prev_25,prev_50,prev_38,mort_00,mort_25,mort_50,mort_38,art_00,art_25,art_50,art_38
2000,1.591845978,1.591845978,1.591845978,1.591845978,0.100411527,0.100411527,0.100411527,0.100411527,63.98217543,63.98217543,63.98217543,63.98217543,0,0,0,0
2001,1.602220101,1.602220101,1.602220101,1.602220101,0.102411801,0.102411801,0.102411801,0.102411801,68.7194567,68.7194567,68.7194567,68.7194567,0,0,0,0
2002,1.594853038,1.594853038,1.594853038,1.594853038,0.103992734,0.103992734,0.103992734,0.103992734,75.28885178,75.28885178,75.28885178,75.28885178,0,0,0,0
2003,1.592728857,1.592728857,1.592728857,1.592728857,0.104898349,0.104898349,0.104898349,0.104898349,77.21111802,77.21111802,77.21111802,77.21111802,0,0,0,0
2004,1.571957268,1.571957268,1.571957268,1.571957268,0.10543227,0.10543227,0.10543227,0.10543227,72.69525803,72.69525803,72.69525803,72.69525803,0.022604574,0.022604574,0.022604574,0.022604574
2005,1.511025848,1.511025848,1.511025848,1.511025848,0.10639767,0.10639767,0.10639767,0.10639767,62.98803052,62.98803052,62.98803052,62.98803052,0.058417638,0.058417638,0.058417638,0.058417638
2006,1.411593988,1.411593988,1.411593988,1.411593988,0.107129041,0.107129041,0.107129041,0.107129041,55.68427575,55.68427575,55.68427575,55.68427575,0.103048414,0.103048414,0.103048414,0.103048414
2007,1.365582293,1.365582293,1.365582293,1.365582293,0.107948259,0.107948259,0.107948259,0.107948259,50.52150355,50.52150355,50.52150355,50.52150355,0.145182521,0.145182521,0.145182521,0.145182521
2008,1.253752704,1.253752704,1.253752704,1.253752704,0.108256417,0.108256417,0.108256417,0.108256417,46.54814348,46.54814348,46.54814348,46.54814348,0.200650346,0.200650346,0.200650346,0.200650346
2009,1.186293382,1.186293382,1.186293382,1.186293382,0.107957304,0.107957304,0.107957304,0.107957304,42.39387037,42.39387037,42.39387037,42.39387037,0.255115442,0.255115442,0.255115442,0.255115442
2010,1.122301028,1.122301028,1.122301028,1.122301028,0.107344758,0.107344758,0.107344758,0.107344758,39.71585768,39.71585768,39.71585768,39.71585768,0.300869343,0.300869343,0.300869343,0.300869343
2011,1.068709408,1.068709408,1.068709408,1.068709408,0.106816322,0.106816322,0.106816322,0.106816322,33.36643525,33.36643525,33.36643525,33.36643525,0.374127794,0.374127794,0.374127794,0.374127794
2012,0.904523653,0.904523653,0.904523653,0.904523653,0.106011723,0.106011723,0.106011723,0.106011723,26.96071248,26.96071248,26.96071248,26.96071248,0.488498703,0.488498703,0.488498703,0.488498703
2013,0.777356702,0.777356702,0.777356702,0.777356702,0.104329724,0.104329724,0.104329724,0.104329724,25.77379008,25.77379008,25.77379008,25.77379008,0.563537059,0.563537059,0.563537059,0.563537059
2014,0.723489837,0.723489837,0.723489837,0.723489837,0.102127643,0.102127643,0.102127643,0.102127643,24.17456828,24.17456828,24.17456828,24.17456828,0.623408821,0.623408821,0.623408821,0.623408821
2015,0.690583947,0.690583947,0.690583947,0.690583947,0.099710374,0.099710374,0.099710374,0.099710374,22.15767374,22.15767374,22.15767374,22.15767374,0.672208531,0.672208531,0.672208531,0.672208531
2016,0.665805075,0.665805075,0.665805075,0.665805075,0.097475931,0.097475931,0.097475931,0.097475931,21.79765124,21.79765124,21.79765124,21.79765124,0.702773325,0.702773325,0.702773325,0.702773325
2017,0.628792919,0.628792919,0.628792919,0.628792919,0.095275438,0.095275438,0.095275438,0.095275438,20.44016678,20.44016678,20.44016678,20.44016678,0.725594995,0.725594995,0.725594995,0.725594995
2018,0.556006423,0.556006423,0.556006423,0.556006423,0.092719823,0.092719823,0.092719823,0.092719823,20.60052832,20.60052832,20.60052832,20.60052832,0.743994632,0.743994632,0.743994632,0.743994632
2019,0.526226959,0.526226959,0.526226959,0.526226959,0.089758139,0.089758139,0.089758139,0.089758139,19.4121464,19.4121464,19.4121464,19.4121464,0.759672578,0.759672578,0.759672578,0.759672578
2020,0.522286892,0.522286892,0.522286892,0.522286892,0.086917937,0.086917937,0.086917937,0.086917937,19.73973429,19.73973429,19.73973429,19.73973429,0.769718842,0.769718842,0.769718842,0.769718842
2021,0.479002481,0.479002481,0.479002481,0.479002481,0.083625451,0.083625451,0.083625451,0.083625451,19.81934113,19.81934113,19.81934113,19.81934113,0.778428595,0.778428595,0.778428595,0.778428595
2022,0.451533474,0.421086448,0.398015557,0.409089585,0.081181496,0.081147084,0.081145106,0.081146055,18.98454867,15.76941324,13.20770059,14.43732266,0.784904132,0.822518826,0.844437247,0.833916405
2023,0.432535455,0.398325681,0.373259059,0.385291037,0.078261569,0.078192192,0.078146031,0.078168188,19.17312474,14.30671458,12.05817927,13.13747622,0.790480951,0.837851851,0.860310224,0.849530205
2024,0.417544509,0.378202391,0.35714139,0.36725067,0.075052857,0.074918197,0.074839239,0.074877139,18.09976283,13.94855867,11.83442356,12.84920841,0.795409799,0.846560091,0.868258551,0.85784329
2025,0.403841979,0.368088386,0.343660327,0.355385795,0.071998886,0.071806023,0.071677472,0.071739177,17.99914139,13.0619654,11.0813475,12.03204409,0.799413912,0.852482359,0.874001123,0.863672116
2026,0.377202647,0.353601352,0.340892781,0.346992895,0.06927514,0.069110234,0.068925544,0.069014195,18.19178822,12.59316179,10.50818221,11.50897241,0.803222064,0.856822496,0.878207823,0.867942866
2027,0.36319837,0.343826191,0.325495895,0.334294437,0.066562982,0.066459925,0.066242452,0.066346839,17.49976321,12.60946844,10.53250317,11.5294465,0.806754493,0.860079171,0.880767828,0.870837272
2028,0.363953939,0.334291196,0.310927388,0.322142016,0.064086333,0.063988779,0.0636766,0.063826446,17.92090789,12.59959034,10.61150335,11.5657851,0.808427448,0.862631382,0.882548501,0.872988284
2029,0.348908401,0.31577384,0.305203741,0.310277389,0.06153233,0.061370511,0.061000845,0.061178284,17.74022863,12.47818002,10.63330453,11.51884477,0.810619689,0.864649775,0.88467059,0.875060599
2030,0.354234354,0.316392342,0.295008246,0.305272612,0.059067179,0.058784206,0.05833124,0.058548664,17.2402402,12.37424042,10.93438644,11.62551635,0.811916747,0.86607101,0.886805604,0.876852999
2031,0.344200132,0.315695816,0.296181942,0.305548601,0.056800272,0.056452526,0.055881947,0.056155825,17.5215358,12.21753694,11.19755235,11.68714496,0.811534242,0.866594334,0.887171378,0.877294397
2032,0.33167242,0.311330469,0.287944083,0.299169548,0.054710051,0.054333061,0.053656196,0.053981091,17.2174671,12.64236608,10.92255566,11.74806466,0.812332513,0.866083398,0.887294412,0.877113126
2033,0.331892015,0.307822942,0.284485481,0.295687462,0.052813956,0.052397465,0.051571118,0.051967764,17.08933725,12.70195983,11.02885212,11.83194382,0.812203963,0.865560821,0.887245477,0.876836842
2034,0.334393606,0.300336368,0.287660164,0.293744742,0.050945438,0.050357363,0.049448403,0.049884704,17.27659547,12.2402128,11.14351288,11.66992884,0.811115441,0.865671625,0.887171216,0.876851412
2035,0.320945471,0.295374422,0.284310769,0.289621323,0.04908564,0.048389632,0.04746312,0.047907846,17.27647161,12.46858901,11.24470984,11.83217184,0.811970911,0.865873583,0.88672572,0.876716694
2036,0.328794785,0.289439674,0.282712566,0.285941578,0.047434296,0.046597991,0.045600151,0.046079114,17.02083894,12.81451536,11.27896775,12.0160306,0.811176257,0.865749549,0.885930305,0.876243542
2037,0.328093727,0.290618119,0.280216143,0.285209092,0.046104933,0.045021787,0.044014625,0.044498063,17.16383055,13.05800868,11.10233326,12.04105746,0.810166987,0.865346841,0.884764279,0.875443909
2038,0.318399168,0.290446455,0.275765079,0.282812139,0.04490346,0.043690808,0.042658614,0.043154067,17.27884783,12.68939145,11.17861795,11.90378923,0.80996658,0.86453014,0.883792498,0.874546566
2039,0.313384493,0.28292106,0.270036219,0.276220943,0.043683284,0.042340293,0.041277441,0.04178761,16.92697751,13.13212745,11.5549614,12.31200111,0.809406241,0.864033052,0.883270368,0.874036456
2040,0.297617074,0.275129257,0.26380316,0.269239686,0.042477466,0.041083424,0.03997379,0.040506414,17.30465825,12.64530365,11.71931087,12.16378741,0.809578908,0.863534247,0.883354306,0.873840678
2041,0.297961891,0.269587566,0.265561138,0.267493823,0.041363662,0.039893608,0.038827898,0.039339439,17.31199088,12.45573878,11.44051309,11.92782142,0.809015448,0.864589733,0.882423058,0.873863062
2042,0.291214505,0.265097405,0.26438478,0.26472684,0.040328606,0.038797985,0.037828617,0.038293913,17.28152656,13.24307677,11.97156984,12.58189317,0.809021809,0.863975725,0.882652801,0.873687805
2043,0.293353484,0.270246924,0.259668916,0.26474636,0.039467154,0.037946056,0.036991195,0.037449528,17.40275283,12.88254455,12.44931869,12.6572671,0.807965423,0.863080473,0.882390854,0.873121871
2044,0.293162978,0.269485997,0.25783376,0.263426834,0.038614598,0.037073129,0.036104398,0.036569389,17.27232486,13.06616094,12.03756292,12.53128997,0.807032618,0.861074451,0.88087478,0.871370622
2045,0.293932514,0.269760605,0.255855026,0.262529704,0.037859759,0.036330734,0.035288015,0.03578852,17.36690945,13.24872567,12.11749557,12.66048602,0.806351302,0.859748505,0.880390641,0.870482416
2046,0.283257946,0.265003697,0.24987635,0.257137476,0.037193685,0.035647581,0.034566584,0.035085462,17.2963632,12.8462738,12.27511003,12.54926864,0.805725248,0.859318806,0.879171727,0.869642325
2047,0.291858937,0.262986293,0.244862502,0.253561922,0.0366273,0.035038288,0.033865667,0.034428525,16.81653492,12.97787067,12.23280996,12.5904391,0.804396214,0.857874029,0.877472467,0.868065217
