Year,inci_00,inci_25,inci_50,inci_38,prev_00,prev_25,prev_50,prev_38,mort_00,mort_25,mort_50,mort_38,art_00,art_25,art_50,art_38
2000,1.327903224,1.327903224,1.327903224,1.327903224,0.103673098,0.103673098,0.103673098,0.103673098,63.08773392,63.08773392,63.08773392,63.08773392,0,0,0,0
2001,1.301047765,1.301047765,1.301047765,1.301047765,0.105266663,0.105266663,0.105266663,0.105266663,65.81436686,65.81436686,65.81436686,65.81436686,0,0,0,0
2002,1.265025449,1.265025449,1.265025449,1.265025449,0.10627826,0.10627826,0.10627826,0.10627826,68.16707473,68.16707473,68.16707473,68.16707473,0,0,0,0
2003,1.246532825,1.246532825,1.246532825,1.246532825,0.106222472,0.106222472,0.106222472,0.106222472,70.01049216,70.01049216,70.01049216,70.01049216,0,0,0,0
2004,1.231416515,1.231416515,1.231416515,1.231416515,0.106610598,0.106610598,0.106610598,0.106610598,71.14449369,71.14449369,71.14449369,71.14449369,0.014630805,0.014630805,0.014630805,0.014630805
2005,1.188388105,1.188388105,1.188388105,1.188388105,0.10645257,0.10645257,0.10645257,0.10645257,70.6615192,70.6615192,70.6615192,70.6615192,0.022155781,0.022155781,0.022155781,0.022155781
2006,1.16390213,1.16390213,1.16390213,1.16390213,0.106415587,0.106415587,0.106415587,0.106415587,71.32157387,71.32157387,71.32157387,71.32157387,0.032540903,0.032540903,0.032540903,0.032540903
2007,1.103521595,1.103521595,1.103521595,1.103521595,0.105298323,0.105298323,0.105298323,0.105298323,71.8533409,71.8533409,71.8533409,71.8533409,0.077294546,0.077294546,0.077294546,0.077294546
2008,1.011312657,1.011312657,1.011312657,1.011312657,0.104415544,0.104415544,0.104415544,0.104415544,67.30346493,67.30346493,67.30346493,67.30346493,0.152638266,0.152638266,0.152638266,0.152638266
2009,0.921374987,0.921374987,0.921374987,0.921374987,0.103441421,0.103441421,0.103441421,0.103441421,60.19646127,60.19646127,60.19646127,60.19646127,0.259595876,0.259595876,0.259595876,0.259595876
2010,0.807853912,0.807853912,0.807853912,0.807853912,0.102249859,0.102249859,0.102249859,0.102249859,48.71104832,48.71104832,48.71104832,48.71104832,0.382678916,0.382678916,0.382678916,0.382678916
2011,0.705322665,0.705322665,0.705322665,0.705322665,0.100707435,0.100707435,0.100707435,0.100707435,37.6876594,37.6876594,37.6876594,37.6876594,0.486868953,0.486868953,0.486868953,0.486868953
2012,0.627851478,0.627851478,0.627851478,0.627851478,0.099669002,0.099669002,0.099669002,0.099669002,29.63753902,29.63753902,29.63753902,29.63753902,0.576408108,0.576408108,0.576408108,0.576408108
2013,0.574096176,0.574096176,0.574096176,0.574096176,0.09873558,0.09873558,0.09873558,0.09873558,24.42129833,24.42129833,24.42129833,24.42129833,0.638118301,0.638118301,0.638118301,0.638118301
2014,0.517884954,0.517884954,0.517884954,0.517884954,0.097801178,0.097801178,0.097801178,0.097801178,20.99806928,20.99806928,20.99806928,20.99806928,0.685443254,0.685443254,0.685443254,0.685443254
2015,0.471201507,0.471201507,0.471201507,0.471201507,0.097000562,0.097000562,0.097000562,0.097000562,18.49300437,18.49300437,18.49300437,18.49300437,0.719749492,0.719749492,0.719749492,0.719749492
