Year,inci_00,inci_25,inci_50,inci_38,prev_00,prev_25,prev_50,prev_38,mort_00,mort_25,mort_50,mort_38,art_00,art_25,art_50,art_38
2000,1.65325,1.653246954,1.653246954,1.653246954,0.09919,0.099192645,0.099192645,0.099192645,47.66917,47.66917293,47.66917293,47.66917293,0,0,0,0
2001,1.72504,1.725039692,1.725039692,1.725039692,0.10669,0.106692637,0.106692637,0.106692637,50.21572,50.21572374,50.21572374,50.21572374,0,0,0,0
2002,1.76671,1.766714882,1.766714882,1.766714882,0.11421,0.114207342,0.114207342,0.114207342,53.67978,53.67977628,53.67977628,53.67977628,0,0,0,0
2003,1.82579,1.82579314,1.82579314,1.82579314,0.1207,0.120703942,0.120703942,0.120703942,55.80042,55.80041616,55.80041616,55.80041616,0,0,0,0
2004,1.90294,1.902942865,1.902942865,1.902942865,0.12738,0.127383768,0.127383768,0.127383768,57.50075,57.5007537,57.5007537,57.5007537,0.00174,0.001738759,0.001738759,0.001738759
2005,1.9305,1.930502314,1.930502314,1.930502314,0.13348,0.133484958,0.133484958,0.133484958,58.55522,58.55521753,58.55521753,58.55521753,0.00549,0.005493922,0.005493922,0.005493922
2006,1.94182,1.941821528,1.941821528,1.941821528,0.13986,0.139864781,0.139864781,0.139864781,59.56581,59.5658147,59.5658147,59.5658147,0.01754,0.01754386,0.01754386,0.01754386
2007,1.89879,1.900825199,1.900825199,1.900825199,0.14528,0.145275677,0.145275677,0.145275677,57.44556,57.34314582,57.34314582,57.34314582,0.04344,0.043436532,0.043436532,0.043436532
2008,1.85027,1.849315285,1.849315285,1.849315285,0.15034,0.150337837,0.150337837,0.150337837,53.55332,53.55332381,53.55332381,53.55332381,0.07957,0.079536806,0.079536806,0.079536806
2009,1.8096,1.8096026,1.8096026,1.8096026,0.15476,0.154759847,0.154759847,0.154759847,50.37938,50.48726704,50.48726704,50.48726704,0.1171,0.117051155,0.117051155,0.117051155
2010,1.75448,1.754303133,1.754303133,1.754303133,0.15891,0.158913603,0.158913603,0.158913603,52.2177,52.21769787,52.21769787,52.21769787,0.1733,0.17321375,0.17321375,0.17321375
2011,1.65679,1.655948492,1.655948492,1.655948492,0.16356,0.163253218,0.163253218,0.163253218,50.83978,50.89759747,50.89759747,50.89759747,0.2562,0.256456429,0.256456429,0.256456429
2012,1.51513,1.514184114,1.514184114,1.514184114,0.16648,0.166476714,0.166476714,0.166476714,43.29009,43.50132139,43.50132139,43.50132139,0.35181,0.351327002,0.351327002,0.351327002
2013,1.38449,1.386147703,1.386147703,1.386147703,0.16902,0.169015176,0.169015176,0.169015176,36.10091,36.26051915,36.26051915,36.26051915,0.40823,0.408592274,0.408592274,0.408592274
2014,1.3084,1.331979382,1.331979382,1.331979382,0.17154,0.171502036,0.171502036,0.171502036,32.08229,31.95400733,31.95400733,31.95400733,0.44976,0.449759226,0.449759226,0.449759226
2015,1.26602,1.258630651,1.258630651,1.258630651,0.17499,0.174508303,0.174508303,0.174508303,29.23626,29.12928422,29.12928422,29.12928422,0.49982,0.499246097,0.499246097,0.499246097
2016,1.11658,1.129060447,1.129060447,1.129060447,0.17684,0.17623117,0.17623117,0.17623117,29.20112,29.54112121,29.54112121,29.54112121,0.58766,0.587923554,0.587923554,0.587923554
2017,0.98861,0.982962527,0.982962527,0.982962527,0.17812,0.17748094,0.17748094,0.17748094,26.19719,26.13132126,26.13132126,26.13132126,0.65572,0.65541329,0.65541329,0.65541329
2018,0.8621,0.845726037,0.845726037,0.845726037,0.17816,0.1779223,0.1779223,0.1779223,23.60134,23.70535853,23.70535853,23.70535853,0.72097,0.720201122,0.720201122,0.720201122
2019,0.74339,0.738624801,0.738624801,0.738624801,0.17754,0.177369717,0.177369717,0.177369717,21.28367,21.28288623,21.28288623,21.28288623,0.76342,0.763567199,0.763567199,0.763567199
2020,0.67988,0.682241505,0.682241505,0.682241505,0.17691,0.176731257,0.176731257,0.176731257,19.6383,19.506803,19.506803,19.506803,0.78887,0.789236674,0.789236674,0.789236674
2021,0.6359,0.641874476,0.641874476,0.641874476,0.17632,0.176069798,0.176069798,0.176069798,17.81921,17.98367259,17.98367259,17.98367259,0.80117,0.801559405,0.801559405,0.801559405
