Year,inci_00,inci_25,inci_50,inci_38,prev_00,prev_25,prev_50,prev_38,mort_00,mort_25,mort_50,mort_38,art_00,art_25,art_50,art_38
2000,1.737250799,1.737250799,1.737250799,1.737250799,0.135663563,0.135663563,0.135663563,0.135663563,63.10639369,63.10639369,63.10639369,63.10639369,0,0,0,0
2001,1.527894372,1.527894372,1.527894372,1.527894372,0.136864702,0.136864702,0.136864702,0.136864702,65.30244843,65.30244843,65.30244843,65.30244843,0,0,0,0
2002,1.354097841,1.354097841,1.354097841,1.354097841,0.135516007,0.135516007,0.135516007,0.135516007,64.51409821,64.51409821,64.51409821,64.51409821,0,0,0,0
2003,1.273033973,1.273033973,1.273033973,1.273033973,0.134409918,0.134409918,0.134409918,0.134409918,56.13096556,56.13096556,56.13096556,56.13096556,0,0,0,0
2004,1.232661198,1.232661198,1.232661198,1.232661198,0.1334111,0.1334111,0.1334111,0.1334111,52.41160781,52.41160781,52.41160781,52.41160781,0.070216604,0.070216604,0.070216604,0.070216604
2005,1.18643233,1.18643233,1.18643233,1.18643233,0.132745264,0.132745264,0.132745264,0.132745264,49.33090314,49.33090314,49.33090314,49.33090314,0.102286948,0.102286948,0.102286948,0.102286948
2006,1.141669045,1.141669045,1.141669045,1.141669045,0.132298648,0.132298648,0.132298648,0.132298648,47.27035082,47.27035082,47.27035082,47.27035082,0.140256178,0.140256178,0.140256178,0.140256178
2007,1.097444498,1.097444498,1.097444498,1.097444498,0.131542511,0.131542511,0.131542511,0.131542511,45.78046719,45.78046719,45.78046719,45.78046719,0.183505366,0.183505366,0.183505366,0.183505366
2008,1.039137658,1.039137658,1.039137658,1.039137658,0.130779123,0.130779123,0.130779123,0.130779123,44.25582816,44.25582816,44.25582816,44.25582816,0.23580735,0.23580735,0.23580735,0.23580735
2009,0.983612221,0.983612221,0.983612221,0.983612221,0.129849593,0.129849593,0.129849593,0.129849593,42.43758837,42.43758837,42.43758837,42.43758837,0.282432327,0.282432327,0.282432327,0.282432327
2010,0.941337952,0.941337952,0.941337952,0.941337952,0.128706317,0.128706317,0.128706317,0.128706317,40.60527937,40.60527937,40.60527937,40.60527937,0.323883928,0.323883928,0.323883928,0.323883928
