"","bootstrap.id","dalys_soc","dalys_cag","dalys_uag","dalys_hom","costf_soc","costf_cag","costp_cag","costpoint_cag","costf_uag","costp_uag","costpoint_uag","costf_hom","costp_hom","costpoint_hom","Diff_cpoint_cag_soc","Diff_cpoint_uag_soc","Diff_cpoint_hom_soc","Diff_cf_cag_soc","Diff_cf_uag_soc","Diff_cf_hom_soc","Diff_cp_cag_soc","Diff_cp_uag_soc","Diff_cp_hom_soc","Diff_dalys_cag_soc","Diff_dalys_uag_soc","Diff_dalys_hom_soc","ICERpoint_cag","ICERpoint_uag","ICERpoint_hom","ICERf_cag","ICERf_uag","ICERf_hom","ICERp_cag","ICERp_uag","ICERp_hom"
"1","bootstrap_1",35784675.9780098,34288249.9769843,33471414.7024639,33863495.6342337,4318555081.21432,5453433290.44444,4948957486.26687,5018654801.31771,6581554927.29896,6103646781.80439,6123698871.82514,7466063729.17888,5717115369.83544,6086893022.95377,700099720.103395,1805143790.61082,1768337941.73945,1134878209.23013,2262999846.08464,3147508647.96457,630402405.052548,1785091700.59007,1398560288.62112,1496426.00102552,2313261.275546,1921180.34377617,467.847871945294,780.345830232582,920.443490621866,758.392468757146,978.272480505044,1638.32024315739,421.272020547976,771.677509782693,727.969288855096
"2","bootstrap_10",30674941.3031196,29058721.537623,28301591.0628899,28665013.6907618,4689479319.73342,5894690422.76989,5355186194.20249,5429722962.62298,7180503959.04898,6662779425.827,6684502133.51463,8094099866.061,6211254898.41898,6609342120.14901,740243642.889566,1995022813.78121,1919862800.41559,1205211103.03647,2491024639.31556,3404620546.32758,665706874.469069,1973300106.09358,1521775578.68557,1616219.76549652,2373350.24022971,2009927.61235778,458.009274909564,840.59351205919,955.190022074208,745.697539880176,1049.58155652343,1693.90207159437,411.891308769236,831.440750987764,757.129545028947
"3","bootstrap_100",31468848.3003431,29430062.3797225,28373804.3407126,28880808.1994373,5631007019.22773,7080951025.62002,6429956032.14485,6519896129.9276,8497667470.80074,7884220511.81615,7909959545.06026,9654911415.35988,7404150524.61713,7880025684.37417,888889110.69987,2278952525.83254,2249018665.14644,1449944006.39229,2866660451.57301,4023904396.13215,798949012.917117,2253213492.58843,1773143505.38941,2038785.92062061,3095043.95963046,2588040.10090572,435.989429645116,736.323152613522,869.004566180935,711.180115443864,926.209930767924,1554.80759155313,391.874892226996,728.006943351284,685.129841986941
"4","bootstrap_101",41453898.1725605,39685408.8709063,38870335.8830354,39261570.9172135,4840409720.51001,6128185739.8619,5560831983.34515,5639216383.91654,7348852180.66095,6815394558.04195,6837777395.35463,8362915133.5333,6403594456.72532,6817850828.39329,798806663.406528,1997367674.84462,1977441107.88328,1287776019.35189,2508442460.15094,3522505413.02329,720422262.835133,1974984837.53193,1563184736.21531,1768489.30165416,2583562.28952506,2192327.25534702,451.688716838356,773.106064809373,901.982631954404,728.178574870293,970.923933330853,1606.74251730986,407.365915169113,764.442508523762,713.025271388086
"5","bootstrap_102",29483067.9865221,27955055.2627494,27292993.4571557,27610783.1238407,4213607922.70723,5254865027.99994,4772731945.1906,4839342436.89452,6447153519.83934,5980872796.3753,6000437022.53463,7246075701.03305,5556649185.38952,5913842220.12558,625734514.187291,1786829099.8274,1700234297.41835,1041257105.29271,2233545597.13211,3032467778.32582,559124022.48337,1767264873.66807,1343041262.68229,1528012.72377269,2190074.52936643,1872284.86268142,409.508706604445,815.875932927412,908.10663019693,681.445310692063,1019.84912713371,1619.66153696442,365.915815872843,806.942800334436,717.327416063616
"6","bootstrap_103",35494674.8385269,33510880.9914937,32526384.8046388,32998942.9743291,5271897879.86365,6587982306.16481,5978465170.03976,6062674774.37283,7835638212.18304,7267862199.12695,7291684968.90552,8950948761.21085,6856042374.37185,7298965439.01781,790776894.509183,2019787089.04187,2027067559.15416,1316084426.30116,2563740332.3194,3679050881.3472,706567290.176115,1995964319.2633,1584144494.5082,1983793.84703322,2968290.03388815,2495731.8641978,398.618483312567,680.454762163575,812.21367897457,663.417939454432,863.709510543065,1474.13707943732,356.169715534098,672.429006760094,634.741462908471
"7","bootstrap_104",38752843.5441622,36474643.2296235,35351396.532064,35890554.9468926,5995987091.85796,7474802107.06637,6784686879.9274,6880031746.83475,8970532990.49227,8320733685.53751,8347997992.03911,10199756293.9013,7814716071.19179,8318981718.27894,884044654.97679,2352010900.18115,2322994626.42097,1478815015.20841,2974545898.6343,4203769202.04334,788699788.069432,2324746593.67955,1818728979.33382,2278200.31453869,3401447.01209816,2862288.59726959,388.045181687985,691.473626317149,811.586444720123,649.115446860016,874.49426319285,1468.67412533224,346.194223148958,683.458123972228,635.410762237168
"8","bootstrap_105",38943950.8687356,37621518.4248133,36941715.982624,37268021.1548749,3968689266.81203,5043990710.53426,4582572337.99555,4646320928.9384,6086741127.17644,5648710608.03273,5667089510.93386,6891206464.48384,5289846321.86402,5628419609.16078,677631662.126374,1698400244.12184,1659730342.34875,1075301443.72223,2118051860.36441,2922517197.67181,613883071.183526,1680021341.2207,1321157055.05199,1322432.44392231,2002234.88611162,1675929.71386074,512.413065212262,848.252248476281,990.334098513791,813.123913182972,1057.84384991798,1743.81847490452,464.207509430697,839.073054252556,788.312925133667
"9","bootstrap_106",28055235.4267548,26973367.6939327,26253747.766211,26599165.3315174,3565697255.40629,4500101265.93777,4089120762.91855,4145900963.99358,5424963129.75073,5035140309.24931,5051496511.50811,6143245054.16381,4717500381.6171,5018943540.95555,580203708.587284,1485799256.10182,1453246285.54926,934404010.531474,1859265874.34444,2577547798.75752,523423507.512262,1469443053.84302,1151803126.21081,1081867.73282202,1801487.66054377,1456070.09523733,536.298191530161,824.762383136908,998.060663633358,863.695239430156,1032.07250044845,1770.20859585568,483.814695301918,815.683107926185,791.035493399836
"10","bootstrap_107",30711526.3220304,28990496.2161981,27972089.0409239,28460924.4850555,5040061759.5429,6402978413.56856,5797396318.34166,5881062265.70853,7706968253.08512,7137476387.20698,7161371150.81026,8789358062.35346,6697733720.36468,7139962866.9566,841000506.165631,2121309391.26736,2099901107.4137,1362916654.02566,2666906493.54222,3749296302.81056,757334558.798758,2097414627.66408,1657671960.82178,1721030.10583222,2739437.28110648,2250601.83697483,488.661124123076,774.359539419916,933.039808692372,791.919124137929,973.523472114333,1665.90831004129,440.047246258101,765.6370314187,736.546080069835
"11","bootstrap_108",31738179.931692,29723141.0497774,28837695.974933,29262709.6108583,5046989889.59361,6286492545.72525,5707380977.46853,5787389812.55663,7659760083.17419,7104607437.22786,7127900555.23959,8643245782.66861,6623265498.83091,7050347044.55659,740399922.963023,2080910665.64599,2003357154.96299,1239502656.13165,2612770193.58058,3596255893.07501,660391087.874925,2057617547.63426,1576275609.2373,2015038.88191465,2900483.95675903,2475470.32083374,367.437040351057,717.435675104087,809.283447312048,615.125924991529,900.80491136385,1452.7566187357,327.731188614799,709.404905632857,636.758031785416
"12","bootstrap_109",31931065.8633094,30141126.1098505,29087270.6174446,29593121.2537995,5445195701.89998,6856531303.11755,6232894048.89021,6319054459.01373,8213017696.7469,7625408479.36397,7650063411.56186,9321793693.0006,7165759921.7044,7621607061.92131,873858757.113745,2204867709.66188,2176411360.02133,1411335601.21757,2767821994.84692,3876597991.10062,787698346.990232,2180212777.46399,1720564219.80442,1789939.75345886,2843795.24586477,2337944.60950993,488.205681462244,775.325759781064,930.908008328536,788.482181308235,973.284556569844,1658.12225633233,440.069754006017,766.656031454548,735.930275168098
"13","bootstrap_11",34923966.1704114,33321279.3034959,32579161.7754034,32935378.1888878,4298663904.79396,5416400614.18342,4916400532.20488,4985479490.89928,6540944426.51383,6066738819.9217,6086635558.65983,7414817712.05251,5680421156.43178,6047122142.4773,686815586.105326,1787971653.86587,1748458237.68334,1117736709.38947,2242280521.71987,3116153807.25856,617736627.41092,1768074915.12774,1381757251.63782,1602686.86691549,2344804.39500792,1988587.98152355,428.540097434729,762.524864620886,879.246105240848,697.414281269207,956.276151005891,1567.01832466629,385.438129033781,754.039406823003,694.843408728231
"14","bootstrap_110",31371214.3044734,29686731.4320288,28713495.4711133,29180648.7323527,5189650177.43201,6522946657.44254,5920279563.45647,6003542780.38876,7840090873.20519,7271716287.76598,7295564172.46972,8908923814.5717,6824431517.43417,7265152745.97182,813892602.956743,2105913995.03771,2075502568.53981,1333296480.01053,2650440695.77318,3719273637.13969,730629386.024459,2082066110.33396,1634781340.00216,1684482.87244465,2657718.83336012,2190565.5721207,483.17060165507,792.376518013843,947.473380826715,791.51679237649,997.261509571446,1697.85998852298,433.741059631027,783.403452690152,746.282768618295
"15","bootstrap_111",42783391.7509615,40635370.7613857,39518291.458611,40054489.5239429,5955601367.05895,7504952231.89389,6818200635.41013,6913080790.1875,9075647392.70044,8422140646.49059,8449560509.96792,10265521745.4545,7879154265.10811,8383700532.38136,957479423.128551,2493959142.90898,2428099165.32241,1549350864.83494,3120046025.64149,4309920378.39559,862599268.351189,2466539279.43164,1923552898.04917,2148020.98957582,3265100.29235052,2728902.22701867,445.749565658402,763.823135464424,889.771403783533,721.292237065572,955.574330427503,1579.3604973177,401.578603066412,755.425272911296,704.881574357706
"16","bootstrap_112",38847571.059769,37265603.5155369,36460862.9616222,36847138.4275013,4474736993.48028,5625697475.87402,5104745799.4928,5176719386.36126,6790883988.56435,6297349174.64331,6318056929.07356,7704045805.75293,5897981406.57869,6279835022.4041,701982392.880975,1843319935.59328,1805098028.92381,1150960482.39373,2316146995.08407,3229308812.27264,630008806.012517,1822612181.16302,1423244413.09841,1581967.54423211,2386708.09814679,2000432.63226773,443.740072570022,772.32734787491,902.35382077202,727.549997210855,970.435805234201,1614.30520587531,398.243825108514,763.651065070852,711.468304476212
"17","bootstrap_113",40168931.5380078,38400746.3652549,37570088.6224389,37968804.3389905,4853437210.31058,6063602641.08007,5500470491.31839,5578271643.5881,7343089250.90609,6807925899.69029,6830380306.03501,8322097750.12966,6366656391.91771,6780092564.7968,724834433.277514,1976943095.72443,1926655354.48622,1210165430.76948,2489652040.59551,3468660539.81907,647033281.007807,1954488689.37971,1513219181.60712,1768185.17275286,2598842.91556893,2200127.19901723,409.931292517869,760.701265890727,875.701802762509,684.411027429549,957.984811502347,1576.57272787159,365.93072432592,752.061110608465,687.787134436163
"18","bootstrap_114",40186992.8623903,38256243.8874089,37072506.6554619,37640700.5267964,5618557206.89281,7083496254.52159,6417413482.65368,6509438076.13543,8453122942.97818,7832138256.39201,7858193557.92709,9669863997.22393,7379453611.47707,7863711807.32069,890880869.242615,2239636351.03428,2245154600.42788,1464939047.62878,2834565736.08537,4051306790.33112,798856275.760862,2213581049.49919,1760896404.58426,1930748.9749814,3114486.20692844,2546292.33559386,461.41724314586,719.102992349755,881.734814594352,758.741331271656,910.123066135157,1591.06114160542,413.754603064625,710.737149702219,691.553118221819
"19","bootstrap_115",35810165.3035804,33968326.3673485,32930497.4492881,33428655.3299571,5347967319.53372,6784396526.94016,6156672726.03774,6243397724.84663,8114477175.32511,7525967295.9303,7550660018.14268,9244920567.11505,7080292941.02571,7537957067.6846,895430405.312908,2202692698.60896,2189989748.15088,1436429207.40644,2766509855.79139,3896953247.58132,808705406.504023,2177999976.39658,1732325621.49199,1841838.93623187,2879667.85429231,2381509.9736233,486.161079396456,764.912069746418,919.580338695353,779.888609774509,960.704496411886,1636.33715195086,439.074986740433,756.337218943549,727.406410503659
"20","bootstrap_116",38446151.775314,36733841.1440307,35629657.2124708,36159665.4996196,4813387374.87685,6139927456.35393,5568444627.26143,5647399491.80711,7379719654.67522,6841523651.83944,6864105302.30808,8397249305.45416,6421992790.59832,6839618453.73927,834012116.930255,2050717927.43122,2026231078.86241,1326540081.47707,2566332279.79836,3583861930.57731,755057252.38458,2028136276.96259,1608605415.72146,1712310.63128334,2816494.5628432,2286486.27569447,487.068234987937,728.110025307865,886.176794674609,774.707612767003,911.179561166168,1567.41020870059,440.958105725643,720.092381401661,703.527256131412
"21","bootstrap_117",27176962.4725231,25944465.1349596,25290229.0319677,25604262.3614038,3509289316.63321,4435855611.19663,4027594398.12345,4083998907.82435,5351832495.8398,4964820109.22043,4981058391.17649,6066345269.19544,4650506221.08344,4949855048.39855,574709591.191145,1471769074.54328,1440565731.76534,926566294.563424,1842543179.2066,2557055952.56223,518305081.490245,1455530792.58723,1141216904.45023,1232497.33756357,1886733.44055539,1572700.11111933,466.296821644456,780.062007121708,915.982469626747,751.779550611512,976.578428940241,1625.9018070154,420.532414710805,771.455448501919,725.641777718195
"22","bootstrap_118",31062131.8810756,29411982.9678234,28517156.4015585,28946673.1533657,4727906404.04134,5958146546.61207,5417963217.09428,5492593808.6724,7151511380.47456,6640997003.9779,6662417187.60713,8104495064.62754,6234068386.63991,6629530027.12873,764687404.631061,1934510783.5658,1901623623.08739,1230240142.57073,2423604976.43323,3376588660.58621,690056813.052944,1913090599.93657,1506161982.59858,1650148.91325216,2544975.47951707,2115458.72770991,463.405089377051,760.129439020327,898.917855583026,745.532801731295,952.309755413881,1596.14962767037,418.178509534004,751.712782827908,711.978902197289
"23","bootstrap_119",31324511.1721243,29591620.363783,28748763.5893788,29153334.8410928,5038500758.04706,6353344117.99947,5780839513.31212,5859935544.22287,7683174085.60492,7136676010.68611,7159605999.84354,8666750676.82114,6674175645.47874,7095462937.81971,821434786.175812,2121105241.79648,2056962179.77265,1314843359.95241,2644673327.55786,3628249918.77408,742338755.265059,2098175252.63905,1635674887.43168,1732890.80834135,2575747.5827455,2171176.33103152,474.025704459737,823.491112252384,947.395266968201,758.757189791387,1026.75951062677,1671.09868826283,428.381725895121,814.588846630149,753.358842418192
