"","bootstrap.id","dalys_soc","dalys_cag","dalys_uag","dalys_hom","costf_soc","costf_cag","costp_cag","costpoint_cag","costf_uag","costp_uag","costpoint_uag","costf_hom","costp_hom","costpoint_hom","Diff_cpoint_cag_soc","Diff_cpoint_uag_soc","Diff_cpoint_hom_soc","Diff_cf_cag_soc","Diff_cf_uag_soc","Diff_cf_hom_soc","Diff_cp_cag_soc","Diff_cp_uag_soc","Diff_cp_hom_soc","Diff_dalys_cag_soc","Diff_dalys_uag_soc","Diff_dalys_hom_soc","ICERpoint_cag","ICERpoint_uag","ICERpoint_hom","ICERf_cag","ICERf_uag","ICERf_hom","ICERp_cag","ICERp_uag","ICERp_hom"
"1","bootstrap_1",177051578.608252,169750342.473973,159231677.31256,164280636.590038,20185962782.7449,29205976641.2906,26118704142.8922,26876317025.9348,35576494422.4341,32892553430.6935,33101938898.1343,48039850919.9847,36219919245.8429,40609636636.0788,6690354243.18986,12915976115.3893,20423673853.3339,9020013858.54572,15390531639.6892,27853888137.2398,5932741360.14729,12706590647.9486,16033956463.098,7301236.13427955,17819901.2956924,12770942.0182143,916.331717005895,724.806265818738,1599.23001954006,1235.40914067913,863.670981354397,2181.03630080801,812.566701177197,713.056174504181,1255.50303495465
"2","bootstrap_10",193419564.69673,182541699.011986,171711854.404638,176910179.816165,22413904161.9095,31791747780.6703,28431141497.759,29255830156.1421,39002998139.7296,36060556867.551,36290109023.5365,52474073446.2839,39563126577.7758,44358028067.5272,6841925994.2326,13876204861.627,21944123905.6177,9377843618.76079,16589093977.8201,30060169284.3744,6017237335.84945,13646652705.6414,17149222415.8662,10877865.6847442,21707710.2920924,16509384.8805653,628.976877681818,639.229318749556,1329.19088532791,862.103273798725,764.202845652636,1820.792809777,553.163415529978,628.654635703912,1038.75598878637
"3","bootstrap_100",137790080.390057,129997832.26802,122122655.537501,125902740.36815,16228276391.4446,22957809903.8968,20531011580.7223,21126544911.5626,29022915917.8405,26833386145.5476,27004200524.9463,38484183939.8779,29015369695.1769,32531922895.3794,4898268520.11803,10775924133.5017,16303646503.9348,6729533512.45222,12794639526.3959,22255907548.4333,4302735189.27765,10605109754.1029,12787093303.7323,7792248.12203757,15667424.8525569,11887340.0219076,628.607873286919,687.791659121511,1371.51343142269,863.618997631781,816.639597560146,1872.23613587372,552.181491386152,676.889141253625,1075.69004337106
"4","bootstrap_101",157810978.9433,148020873.892545,141415096.7436,144585869.775093,16795294167.7352,23513286283.9909,21027770288.9906,21637712864.4508,29710995915.2338,27469556416.0107,27644420490.4182,39400512996.7607,29706241207.2096,33306525424.8725,4842418696.71554,10849126322.6829,16511231257.1372,6717992116.25569,12915701747.4985,22605218829.0254,4232476121.25534,10674262248.2754,12910947039.4743,9790105.0507549,16395882.1996998,13225109.1682063,494.623772841145,661.698235602204,1248.47598965995,686.202250274901,787.740579627673,1709.26519709715,432.32182896025,651.033114184664,976.245025675313
"5","bootstrap_102",156938317.293918,149288613.606039,141830876.84865,145410590.492197,18491791964.3445,26940725585.7672,24092905695.7024,24791757202.4667,34364203845.9028,31771719767.6404,31973970298.5687,45361435528.8116,34200512704.8714,38345485650.7399,6299965238.12221,13482178334.2242,19853693686.3954,8448933621.42271,15872411881.5582,26869643564.4671,5601113731.35782,13279927803.2959,15708720740.5269,7649703.68787867,15107440.4452676,11527726.8017209,823.556767055541,892.419757209599,1722.25574286091,1104.47854794826,1050.63540968849,2330.87095371275,732.200090342461,879.032278922923,1362.69023465944
"6","bootstrap_103",203427349.544484,192052658.482008,182226419.742186,186943014.3373,22542179034.8156,31351398594.0558,28037340247.2133,28850606099.1992,40008130234.6027,36989860377.4176,37225328238.6164,52803532912.6801,39811524419.133,44636530788.923,6308427064.38361,14683149203.8008,22094351754.1074,8809219559.2402,17465951199.7871,30261353877.8645,5495161212.39772,14447681342.602,17269345384.3174,11374691.0624767,21200929.8022988,16484335.2071842,554.602057298428,692.571002343902,1340.32410020868,774.457918096822,823.829490624192,1835.7642875811,483.104216388382,681.464514874031,1047.62158541832
"7","bootstrap_104",122979559.279609,116908040.429866,111152179.54712,113914992.770838,14447325678.5779,20100055477.787,17975341442.1974,18496743659.52,25028134206.0984,23139976408.8486,23287279499.4142,33432245920.8283,25206432248.8523,28261356618.9913,4049417980.9421,8839953820.83633,13814030940.4134,5652729799.20915,10580808527.5205,18984920242.2504,3528015763.61948,8692650730.27073,10759106570.2744,6071518.84974267,11827379.7324887,9064566.50877061,666.953044395757,747.414391080535,1523.95935614211,931.024005541667,894.602927008086,2094.41016554748,581.076309063754,734.959976502049,1186.94110301516
"8","bootstrap_105",168065620.199076,159497397.165346,149994172.472137,154555720.324877,19638736611.4233,27934394177.6561,24981536686.7625,25706164291.8898,34823691729.0927,32196543235.8867,32401498082.8744,46483629610.9283,35046597325.328,39294112531.0735,6067427680.46652,12762761471.4511,19655375919.6502,8295657566.23287,15184955117.6695,26844892999.505,5342800075.33926,12557806624.4634,15407860713.9048,8568223.0337303,18071447.7269391,13509899.8741988,708.131389271852,706.239016613247,1454.88686834667,968.188798724726,840.273305554446,1987.05343855089,623.559874002626,694.897653702838,1140.48666958152
"9","bootstrap_106",166320727.468457,156605224.955063,149430391.88111,152874311.756607,19967389954.5025,27967620933.3901,25011251146.0084,25736740664.3842,35776618640.9976,33077579995.5291,33288143294.1117,47161196570.2722,35557452793.884,39866881752.6391,5769350709.88176,13320753339.6092,19899491798.1366,8000230978.88759,15809228686.4951,27193806615.7697,5043861191.50587,13110190041.0266,15590062839.3815,9715502.51339319,16890335.587347,13446415.7118492,593.829367233294,788.661259613348,1479.9104999112,823.450044694957,935.992574258751,2022.38330262287,519.155976188851,776.194763758737,1159.42145278487
"10","bootstrap_107",177396878.17009,170097497.201906,159110331.594488,164384171.086048,20934996016.7682,30541135081.6487,27312727157.9725,28104974501.2059,37475115979.4046,34647940295.5651,34868500100.6873,50410661801.5859,38007405614.645,42613759600.4704,7169978484.43773,13933504083.9191,21678763583.7022,9606139064.88054,16540119962.6364,29475665784.8177,6377731141.20431,13712944278.7969,17072409597.8768,7299380.96818444,18286546.5756024,13012707.0840418,982.272129059883,761.953823610902,1665.96876758165,1316.0210580528,904.496641520271,2265.14479995983,873.73589198902,749.89250824934,1311.97985842728
