"","bootstrap.id","dalys_soc","dalys_cag","dalys_uag","dalys_hom","costf_soc","costf_cag","costp_cag","costpoint_cag","costf_uag","costp_uag","costpoint_uag","costf_hom","costp_hom","costpoint_hom","Diff_cpoint_cag_soc","Diff_cpoint_uag_soc","Diff_cpoint_hom_soc","Diff_cf_cag_soc","Diff_cf_uag_soc","Diff_cf_hom_soc","Diff_cp_cag_soc","Diff_cp_uag_soc","Diff_cp_hom_soc","Diff_dalys_cag_soc","Diff_dalys_uag_soc","Diff_dalys_hom_soc","ICERpoint_cag","ICERpoint_uag","ICERpoint_hom","ICERf_cag","ICERf_uag","ICERf_hom","ICERp_cag","ICERp_uag","ICERp_hom"
"1",1,86925022.6717711,83933990.6074064,83293879.6777617,83601132.9239912,1304329948.29024,1848877507.41361,1651676620.83502,1677165170.80096,2316617020.40437,2126801376.76463,2133629277.61498,2619770399.11635,1937342831.94648,2074099149.9706,372835222.510715,829299329.324739,769769201.680358,544547559.123367,1012287072.11412,1315440450.8261,347346672.544774,822471428.474388,633012883.656239,2991032.06436478,3631142.99400945,3323889.74777995,124.651028303134,228.385202866671,231.586863611975,182.06008742304,278.779181592177,395.753334389233,116.129371090023,226.504830526167,190.443405675243
"2",2,72269605.3606765,72312465.4084803,72125348.1038396,72215164.4100672,632687430.869244,808752959.010471,724052487.913263,735000167.850997,1012435505.5683,930673156.232367,933614247.935099,1141516927.58089,847963889.599127,906790986.496267,102312736.981753,300926817.065855,274103555.627024,176065528.141227,379748074.699053,508829496.711651,91365057.0440195,297985725.363124,215276458.729884,-42860.0478038192,144257.256836846,54440.9506093115,-2387.1353912171,2086.04283530915,5034.87820398459,-4107.917213418,2632.43654444743,9346.44768353148,-2131.70683948416,2065.6550103413,3954.31116320484
"3",3,78214718.6915938,77677633.7815734,76959197.0250058,77304046.6681582,2251461843.86074,2901187423.35455,2592032766.93174,2631991532.04761,3439506241.57891,3158323894.35356,3168438367.27534,3993749560.55836,2954809113.32048,3163009480.72331,380529688.18687,916976523.414598,911547636.86257,649725579.493805,1188044397.71817,1742287716.69762,340570923.070995,906862050.492823,703347269.459743,537084.910020366,1255521.66658798,910672.023435548,708.509364324609,730.354997302902,1000.96150249979,1209.72599931949,946.255591866299,1913.18902070228,634.110020067554,722.299004968447,772.338724985024
"4",4,102361057.607565,99938054.5722894,98312024.5518865,99092518.9616798,1330760827.88471,2058932560.4565,1840165536.82365,1868441546.68095,2738798128.98652,2514687823.31298,2522749345.0998,3009889548.38311,2227308806.36947,2384135502.68569,537680718.79624,1191988517.21508,1053374674.80098,728171732.571788,1408037301.10181,1679128720.49839,509404708.938932,1183926995.42826,896547978.484753,2423003.03527598,4049033.05567892,3268538.64588553,221.906745872069,294.388438134205,322.276952768167,300.524482210914,347.746556212225,513.724603688593,210.236925634272,292.397463579054,274.296275986621
"5",5,87461770.748985,85750591.867491,85330387.7054223,85532085.7032152,1298325744.21944,1664229113.5021,1487718062.05967,1510532415.64747,2059907964.2143,1891940244.49889,1897982248.8052,2340567784.10609,1733383327.44131,1855061164.98723,212206671.42803,599656504.585765,556735420.767787,365903369.282665,761582219.994865,1042242039.88665,189392317.840233,593614500.279456,435057583.221867,1711178.88149394,2131383.04356262,1929685.04576971,124.011974272826,281.346192744142,288.511030330195,213.831162387426,357.318325438995,540.109922171743,110.679438537066,278.511411673439,225.455228652784
"6",6,81101859.625319,80813717.4933839,80152789.8181731,80470035.1022743,1333087197.58377,1656895940.44867,1481244652.45096,1503947880.15134,2063889006.89567,1895625964.00529,1901678591.44739,2337817230.39402,1731490876.42695,1852996752.91639,170860682.56757,568591393.863617,519909555.332613,323808742.864902,730801809.311897,1004730032.81025,148157454.867184,562538766.421517,398403678.84318,288142.131935075,949069.807145864,631824.52304469,592.973618332457,599.103869475672,822.870174185751,1123.7813112935,770.019026850761,1590.20423577194,514.181851408552,592.726438230333,630.560645103356
"7",7,113908923.342645,110922570.457457,110079058.486979,110483944.232809,2662007730.63273,3723058486.16831,3326545388.78021,3377795380.95963,4655996066.58247,4274967340.51077,4288673409.79393,5268606965.88494,3897642369.49471,4172379322.34275,715787650.326898,1626665679.1612,1510371591.71002,1061050755.53558,1993988335.94974,2606599235.25221,664537658.147482,1612959609.87804,1235634638.86198,2986352.88518757,3829864.85566524,3424979.10983591,239.686225253966,424.731874482461,440.987096059218,355.299857829405,520.641957639883,761.055513526064,222.524826668548,421.153140036288,360.771438083656
"8",8,94204569.9700149,91833905.7586326,91109302.2098772,91457111.9132797,2084601382.27634,2649494607.71242,2366688708.70476,2403241852.11391,3344960675.33251,3070670579.03645,3080537129.26293,3769714257.33701,2787131452.58481,2984037927.34666,318640469.837572,995935746.986592,899436545.070324,564893225.436081,1260359293.05618,1685112875.06068,282087326.428418,986069196.760116,702530070.308474,2370664.21138237,3095267.76013777,2747458.0567352,134.409786214205,321.760772949176,327.37043714477,238.28479070289,407.189099853539,613.335250352499,118.990840235416,318.573148810954,255.701836316034
"9",9,112752911.580297,108416227.202378,106426269.904864,107381449.407671,5337162694.5082,7647566799.6976,6825150648.33214,6931449334.56304,9364306141.51529,8592362027.31166,8620129801.20388,10723369552.1227,7914431906.68401,8477334093.56756,1594286640.05485,3282967106.69568,3140171399.05937,2310404105.18941,4027143447.00709,5386206857.61455,1487987953.82394,3255199332.80346,2577269212.17581,4336684.37791869,6326641.6754327,5371462.17262597,367.62800820197,518.911497618703,584.602720477544,532.758186635256,636.537305826106,1002.74500397,343.11649734078,514.522474924397,479.807756128318
"10",10,94025069.4503877,89917342.1902873,89361331.1264572,89628216.4370957,2930787310.96135,3820183639.98414,3414353179.03948,3466807456.30444,4817352685.80116,4423812702.16266,4437968816.68203,5427218194.05342,4017330308.25146,4299867364.73161,536020145.343085,1507181505.72067,1369080053.77026,889396329.022783,1886565374.8398,2496430883.09206,483565868.078129,1493025391.20131,1086542997.29011,4107727.26010042,4663738.32393053,4396853.01329206,130.490685335808,323.17025549805,311.377262244477,216.517863213986,404.517844656823,567.776742944361,117.721026119516,320.134897693618,247.118335319693
