"","bootstrap.id","dalys_soc","dalys_cag","dalys_uag","dalys_hom","costf_soc","costf_cag","costp_cag","costpoint_cag","costf_uag","costp_uag","costpoint_uag","costf_hom","costp_hom","costpoint_hom","Diff_cpoint_cag_soc","Diff_cpoint_uag_soc","Diff_cpoint_hom_soc","Diff_cf_cag_soc","Diff_cf_uag_soc","Diff_cf_hom_soc","Diff_cp_cag_soc","Diff_cp_uag_soc","Diff_cp_hom_soc","Diff_dalys_cag_soc","Diff_dalys_uag_soc","Diff_dalys_hom_soc","ICERpoint_cag","ICERpoint_uag","ICERpoint_hom","ICERf_cag","ICERf_uag","ICERf_hom","ICERp_cag","ICERp_uag","ICERp_hom"
"1","bootstrap_1",86852586.3973642,84103037.6384867,81831331.4111973,82921750.4002962,6943208924.95858,9022044594.3405,8272784303.57596,8344521990.98959,11235893783.207,10470181977.949,10512486497.5765,12456538835.0596,9671851946.29932,10280616583.724,1401313066.031,3569277572.61795,3337407658.76543,2078835669.38192,4292684858.2484,5513329910.101,1329575378.61738,3526973052.99044,2728643021.34073,2749548.75887756,5021254.98616692,3930835.99706803,509.652015264882,710.833762167221,849.032536909392,756.064304249893,854.902782287364,1402.58456832423,483.561302313529,702.408673271305,694.16353757216
"2","bootstrap_10",89805860.5500994,87208838.5317142,84795296.800838,85953796.8316585,7045100482.81648,9123918822.00371,8374102681.11583,8445893588.22211,11413527208.6952,10641204490.6458,10683874254.0739,12603999846.9613,9805953567.5908,10417638721.722,1400793105.40563,3638773771.25745,3372538238.90553,2078818339.18722,4368426725.87873,5558899364.14478,1329002198.29934,3596104007.82931,2760853084.77431,2597022.01838517,5010563.74926145,3852063.71844089,539.38437775612,726.220432140754,875.514655367786,800.462346668833,871.843358249385,1443.09642063624,511.740828106538,717.704471549607,716.720513099861
"3","bootstrap_100",96633332.1584306,93905118.9423254,91485871.1310975,92647110.0804869,7241247666.98772,9376001582.73647,8605013133.87164,8678831176.84806,11696793894.5459,10905391972.1392,10949115835.2556,12935166525.7189,10063146155.7503,10691002898.3727,1437583509.86034,3707868168.26784,3449755231.38496,2134753915.74875,4455546227.55814,5693918858.73122,1363765466.88392,3664144305.15145,2821898488.76257,2728213.21610524,5147461.02733308,3986222.07794371,526.932243189048,720.32952723275,865.419729240102,782.473269738167,865.581342704516,1428.39980999464,499.874958025025,711.835269018027,707.913014775695
"4","bootstrap_101",79952051.0345399,77563975.1427321,75064272.0599832,76264129.5397027,6606368718.40991,8584611698.49182,7872739773.27682,7940897723.56336,10623390647.4116,9901154946.51228,9941057471.42385,11811414749.17,9175212270.11984,9751516504.83096,1334529005.15345,3334688753.01393,3145147786.42104,1978242980.0819,4017021929.00172,5205046030.76008,1266371054.8669,3294786228.10237,2568843551.70992,2388075.89180779,4887778.97455665,3687921.49483722,558.830232209746,682.250316631063,852.823952685539,828.383631721334,821.850159328467,1411.37658110312,530.289284026166,674.086583139987,696.555920538462
"5","bootstrap_102",86672332.0168818,84120412.4897111,81867883.1154587,82949097.2150999,6708839904.68752,8657873115.84464,7946878340.68891,8014952308.52296,10803060430.4694,10072834194.7447,10113178185.6687,11942737748.1782,9293504679.95199,9872657551.58786,1306112403.83544,3404338280.98115,3163817646.90034,1949033211.15712,4094220525.7819,5233897843.49068,1238038436.00138,3363994290.05713,2584664775.26447,2551919.52717072,4804448.90142305,3723234.80178191,511.815670490014,708.580390973208,849.74969759795,763.751830888645,852.172769403212,1405.73939655533,485.140077036042,700.183175860343,694.198704316868
"6","bootstrap_103",89573838.3542909,86884410.419749,84459317.0173279,85623361.85049,7135164854.77637,9275814153.55292,8508849687.39864,8582282455.43469,11559466708.5688,10774235798.1233,10817618721.3524,12801676449.4634,9948510147.76977,10572245173.8417,1447117600.65832,3682453866.576,3437080319.06528,2140649298.77655,4424301853.79243,5666511594.68706,1373684832.62227,3639070943.34697,2813345292.9934,2689427.93454193,5114521.33696297,3950476.50380087,538.076362661415,719.99970749221,870.041959687234,795.949678101767,865.047100657831,1434.3868617457,510.772129261847,711.517403798314,712.153404858021
"7","bootstrap_104",92995934.8180709,90252242.5445819,87655954.0500328,88902172.5274164,7388466846.69788,9631685114.7164,8832684451.75636,8909184515.23125,11989989586.1315,11173650167.726,11218751793.0523,13293756204.6954,10324316794.7908,10973470461.9487,1520717668.53338,3830284946.35442,3585003615.25082,2243218268.01852,4601522739.43358,5905289357.99747,1444217605.05848,3785183321.02815,2935849948.09295,2743692.27348907,5339980.76803815,4093762.29065455,554.259558634658,717.284408453334,875.723444772267,817.591057748573,861.711481617214,1442.50910012004,526.377399904951,708.83838078293,717.15203269009
"8","bootstrap_105",92815031.311018,90265972.0439036,87694132.4646379,88928615.4626855,7102552305.61209,9226358357.70427,8468190272.96825,8540780834.27276,11482822742.2632,10706678980.2637,10749559851.0924,12712213504.6628,9891657246.3398,10508263341.2169,1438228528.66068,3647007545.48029,3405711035.60482,2123806052.09219,4380270436.65107,5609661199.05068,1365637967.35616,3604126674.65158,2789104940.72772,2549059.26711433,5120898.84638007,3886415.84833248,564.219336606022,712.181133602811,876.311534460751,833.172488176962,855.371404132978,1443.40220346147,535.741944086746,703.807433571807,717.654787745996
"9","bootstrap_106",96522868.7890723,93485410.0000301,90757600.1949793,92066948.9014036,7737572821.29181,10006934254.5621,9177374699.25042,9256800614.12069,12435011669.3162,11589115388.7207,11635849989.8586,13797120737.106,10717245550.1647,11390541750.5595,1519227792.82887,3898277168.56679,3652968929.26772,2269361433.27031,4697438848.02437,6059547915.81423,1439801877.95861,3851542567.42892,2979672728.87285,3037458.78904216,5765268.59409305,4455919.88766868,500.164083973614,676.165750987017,819.801302841407,747.125011689768,814.782307425753,1359.88708697017,474.015279862493,668.059519616331,668.699798018991
"10","bootstrap_107",97501066.8180098,94555015.5525625,91926514.2202099,93188194.8597392,7655700680.68945,9884321005.80149,9067152614.33234,9145392141.17513,12333038454.1162,11495137537.0404,11541430405.3871,13650356436.3046,10607967045.1244,11273068418.6764,1489691460.48568,3885729724.6977,3617367737.98693,2228620325.11203,4677337773.42677,5994655755.61517,1411451933.64289,3839436856.35097,2952266364.43499,2946051.26544727,5574552.59779985,4312871.95827061,505.657005347295,697.047818013468,838.737568141817,756.477102503401,839.051689147719,1389.9452183178,479.099583295471,688.743498064097,684.524463744756
