,TimeHorizon,Country-DSD,Country,DSD,ICERs
31,5-year,Malawi-CAG,Malawi,CAG,5419.077709
32,10-year,Malawi-CAG,Malawi,CAG,2504.332991
33,20-year,Malawi-CAG,Malawi,CAG,998.0763203
34,30-year,Malawi-CAG,Malawi,CAG,597.420522
35,40-year,Malawi-CAG,Malawi,CAG,459.896679
36,5-year,Malawi-UAG,Malawi,UAG,7790.874148
37,10-year,Malawi-UAG,Malawi,UAG,3717.400333
38,20-year,Malawi-UAG,Malawi,UAG,1573.967323
39,30-year,Malawi-UAG,Malawi,UAG,988.7668324
40,40-year,Malawi-UAG,Malawi,UAG,773.0877285
41,5-year,Malawi-HomeART,Malawi,HomeART,9821.860757
42,10-year,Malawi-HomeART,Malawi,HomeART,4634.715795
43,20-year,Malawi-HomeART,Malawi,HomeART,1908.177548
44,30-year,Malawi-HomeART,Malawi,HomeART,1176.967443
45,40-year,Malawi-HomeART,Malawi,HomeART,910.0624419
