,TimeHorizon,Country-DSD,Country,DSD,ICERs
46,5-year,SouthAfrica-CAG,SouthAfrica,CAG,3911.460035
47,10-year,SouthAfrica-CAG,SouthAfrica,CAG,2836.141624
48,20-year,SouthAfrica-CAG,SouthAfrica,CAG,1412.934508
49,30-year,SouthAfrica-CAG,SouthAfrica,CAG,909.2196777
50,40-year,SouthAfrica-CAG,SouthAfrica,CAG,677.5489933
51,5-year,SouthAfrica-UAG,SouthAfrica,UAG,6126.018527
52,10-year,SouthAfrica-UAG,SouthAfrica,UAG,3412.396665
53,20-year,SouthAfrica-UAG,SouthAfrica,UAG,1516.593295
54,30-year,SouthAfrica-UAG,SouthAfrica,UAG,967.7704663
55,40-year,SouthAfrica-UAG,SouthAfrica,UAG,741.9880508
56,5-year,SouthAfrica-HomeART,SouthAfrica,HomeART,11789.008
57,10-year,SouthAfrica-HomeART,SouthAfrica,HomeART,6950.568103
58,20-year,SouthAfrica-HomeART,SouthAfrica,HomeART,3118.151631
59,30-year,SouthAfrica-HomeART,SouthAfrica,HomeART,1949.18707
60,40-year,SouthAfrica-HomeART,SouthAfrica,HomeART,1486.105123
