,TimeHorizon,Country-DSD,Country,DSD,ICERs
16,5-year,LMICs-CAG,LMICs,CAG,1254.068945
17,10-year,LMICs-CAG,LMICs,CAG,687.3110065
18,20-year,LMICs-CAG,LMICs,CAG,407.9799482
19,30-year,LMICs-CAG,LMICs,CAG,321.6903955
20,40-year,LMICs-CAG,LMICs,CAG,294.6143194
21,5-year,LMICs-UAG,LMICs,UAG,2266.377007
22,10-year,LMICs-UAG,LMICs,UAG,1364.459144
23,20-year,LMICs-UAG,LMICs,UAG,798.3466754
24,30-year,LMICs-UAG,LMICs,UAG,589.7403834
25,40-year,LMICs-UAG,LMICs,UAG,512.1505055
26,5-year,LMICs-HomeART,LMICs,HomeART,2329.622864
27,10-year,LMICs-HomeART,LMICs,HomeART,1308.905115
28,20-year,LMICs-HomeART,LMICs,HomeART,812.5269217
29,30-year,LMICs-HomeART,LMICs,HomeART,596.2799888
30,40-year,LMICs-HomeART,LMICs,HomeART,548.4285483
