,TimeHorizon,Country-DSD,Country,DSD,ICERs
1,5-year,Zambia-CAG,Zambia,CAG,4384.153206
2,10-year,Zambia-CAG,Zambia,CAG,2253.056143
3,20-year,Zambia-CAG,Zambia,CAG,1053.408768
4,30-year,Zambia-CAG,Zambia,CAG,675.7601049
5,40-year,Zambia-CAG,Zambia,CAG,512.0326455
6,5-year,Zambia-UAG,Zambia,UAG,5908.460574
7,10-year,Zambia-UAG,Zambia,UAG,3034.569628
8,20-year,Zambia-UAG,Zambia,UAG,1413.797553
9,30-year,Zambia-UAG,Zambia,UAG,911.4907091
10,40-year,Zambia-UAG,Zambia,UAG,696.5410985
11,5-year,Zambia-HomeART,Zambia,HomeART,7538.124039
12,10-year,Zambia-HomeART,Zambia,HomeART,3791.272132
13,20-year,Zambia-HomeART,Zambia,HomeART,1739.783901
14,30-year,Zambia-HomeART,Zambia,HomeART,1110.103054
15,40-year,Zambia-HomeART,Zambia,HomeART,840.9372071
