,TimeHorizon,Country-DSD,Country,DSD,ICERs
1,5-year,Zambia-CAG,Zambia,CAG,4384.153206
2,10-year,Zambia-CAG,Zambia,CAG,2253.056143
3,20-year,Zambia-CAG,Zambia,CAG,1053.408768
4,30-year,Zambia-CAG,Zambia,CAG,675.7601049
5,40-year,Zambia-CAG,Zambia,CAG,512.0326455
6,5-year,Zambia-UAG,Zambia,UAG,5908.460574
7,10-year,Zambia-UAG,Zambia,UAG,3034.569628
8,20-year,Zambia-UAG,Zambia,UAG,1413.797553
9,30-year,Zambia-UAG,Zambia,UAG,911.4907091
10,40-year,Zambia-UAG,Zambia,UAG,696.5410985
11,5-year,Zambia-HomeART,Zambia,HomeART,7538.124039
12,10-year,Zambia-HomeART,Zambia,HomeART,3791.272132
13,20-year,Zambia-HomeART,Zambia,HomeART,1739.783901
14,30-year,Zambia-HomeART,Zambia,HomeART,1110.103054
15,40-year,Zambia-HomeART,Zambia,HomeART,840.9372071
16,5-year,LMICs-CAG,LMICs,CAG,1254.068945
17,10-year,LMICs-CAG,LMICs,CAG,687.3110065
18,20-year,LMICs-CAG,LMICs,CAG,407.9799482
19,30-year,LMICs-CAG,LMICs,CAG,321.6903955
20,40-year,LMICs-CAG,LMICs,CAG,294.6143194
21,5-year,LMICs-UAG,LMICs,UAG,2266.377007
22,10-year,LMICs-UAG,LMICs,UAG,1364.459144
23,20-year,LMICs-UAG,LMICs,UAG,798.3466754
24,30-year,LMICs-UAG,LMICs,UAG,589.7403834
25,40-year,LMICs-UAG,LMICs,UAG,512.1505055
26,5-year,LMICs-HomeART,LMICs,HomeART,2329.622864
27,10-year,LMICs-HomeART,LMICs,HomeART,1308.905115
28,20-year,LMICs-HomeART,LMICs,HomeART,812.5269217
29,30-year,LMICs-HomeART,LMICs,HomeART,596.2799888
30,40-year,LMICs-HomeART,LMICs,HomeART,548.4285483
31,5-year,Malawi-CAG,Malawi,CAG,5419.077709
32,10-year,Malawi-CAG,Malawi,CAG,2504.332991
33,20-year,Malawi-CAG,Malawi,CAG,998.0763203
34,30-year,Malawi-CAG,Malawi,CAG,597.420522
35,40-year,Malawi-CAG,Malawi,CAG,459.896679
36,5-year,Malawi-UAG,Malawi,UAG,7790.874148
37,10-year,Malawi-UAG,Malawi,UAG,3717.400333
38,20-year,Malawi-UAG,Malawi,UAG,1573.967323
39,30-year,Malawi-UAG,Malawi,UAG,988.7668324
40,40-year,Malawi-UAG,Malawi,UAG,773.0877285
41,5-year,Malawi-HomeART,Malawi,HomeART,9821.860757
42,10-year,Malawi-HomeART,Malawi,HomeART,4634.715795
43,20-year,Malawi-HomeART,Malawi,HomeART,1908.177548
44,30-year,Malawi-HomeART,Malawi,HomeART,1176.967443
45,40-year,Malawi-HomeART,Malawi,HomeART,910.0624419
46,5-year,SouthAfrica-CAG,SouthAfrica,CAG,3911.460035
47,10-year,SouthAfrica-CAG,SouthAfrica,CAG,2836.141624
48,20-year,SouthAfrica-CAG,SouthAfrica,CAG,1412.934508
49,30-year,SouthAfrica-CAG,SouthAfrica,CAG,909.2196777
50,40-year,SouthAfrica-CAG,SouthAfrica,CAG,677.5489933
51,5-year,SouthAfrica-UAG,SouthAfrica,UAG,6126.018527
52,10-year,SouthAfrica-UAG,SouthAfrica,UAG,3412.396665
53,20-year,SouthAfrica-UAG,SouthAfrica,UAG,1516.593295
54,30-year,SouthAfrica-UAG,SouthAfrica,UAG,967.7704663
55,40-year,SouthAfrica-UAG,SouthAfrica,UAG,741.9880508
56,5-year,SouthAfrica-HomeART,SouthAfrica,HomeART,11789.008
57,10-year,SouthAfrica-HomeART,SouthAfrica,HomeART,6950.568103
58,20-year,SouthAfrica-HomeART,SouthAfrica,HomeART,3118.151631
59,30-year,SouthAfrica-HomeART,SouthAfrica,HomeART,1949.18707
60,40-year,SouthAfrica-HomeART,SouthAfrica,HomeART,1486.105123
