Scenario,DSD,OutcomeRangeMin,OutcomeRangeMax,PointEstimate
Discounting,CAG,531.4960619,899.5575848,677.5489933
DW (HIV with ART),CAG,655.0917131,693.2524486,677.5489933
DW (HIV no ART),CAG,780.936917,634.33507,677.5489933
DSD effect,CAG,1561.989704,290.7543539,677.5489933
Costing scenario,CAG,933.8970558,598.8535765,677.5489933
Discounting,UAG,578.9823433,966.2108685,741.9880508
DW (HIV with ART),UAG,712.1825298,753.7527014,741.9880508
DW (HIV no ART),UAG,847.9899309,688.4088087,741.9880508
DSD effect,UAG,3159.92732,527.5592572,741.9880508
Costing scenario,UAG,882.2674625,730.1777168,741.9880508
Discounting,HomeART,1149.376872,1953.273605,1486.105123
DW (HIV with ART),HomeART,1423.071158,1511.303122,1486.105123
DW (HIV no ART),HomeART,1703.146777,1380.60863,1486.105123
DSD effect,HomeART,5150.958978,818.1416284,1486.105123
Costing scenario,HomeART,2028.36478,1163.132048,1486.105123
