Scenario,DSD,OutcomeRangeMin,OutcomeRangeMax,PointEstimate
Discounting,CAG,232.8087011,351.2823503,294.6143194
DW (HIV with ART),CAG,289.7888688,295,294.6143194
DW (HIV no ART),CAG,300.8704467,294.6143194,294.6143194
DSD effect,CAG,625.2946739,194.2019441,294.6143194
Costing scenario,CAG,460.4056516,254.8781926,294.6143194
Discounting,UAG,411.9462485,633.0476073,512.1505055
DW (HIV with ART),UAG,504.2394398,536.6075385,512.1505055
DW (HIV no ART),UAG,593.7839478,512.1505055,512.1505055
DSD effect,UAG,1581.925195,431.9595152,512.1505055
Costing scenario,UAG,635.774006,507.5376883,512.1505055
Discounting,HomeART,456.1867666,657.8578142,548.4285483
DW (HIV with ART),HomeART,530.9162009,595.4642436,548.4285483
DW (HIV no ART),HomeART,706.0889607,548.4285483,548.4285483
DSD effect,HomeART,1487.225845,409.7173152,548.4285483
Costing scenario,HomeART,931.2527009,455.7843917,548.4285483
