Scenario,DSD,OutcomeRangeMin,OutcomeRangeMax,PointEstimate
Discounting,CAG,408.3036097,656.7819064,512.0326455
DW (HIV with ART),CAG,477.9437158,527.7143003,512.0326455
DW (HIV no ART),CAG,617.4491502,465.0140355,512.0326455
DSD effect,CAG,1012.922588,224.1632055,512.0326455
Costing scenario,CAG,763.7826192,485.1783663,512.0326455
Discounting,UAG,552.8008337,894.8282976,696.5410985
DW (HIV with ART),UAG,650.7065818,717.6418927,696.5410985
DW (HIV no ART),UAG,837.5784566,632.8481324,696.5410985
DSD effect,UAG,2495.114854,430.5475907,696.5410985
Costing scenario,UAG,837.7939963,688.2945788,696.5410985
Discounting,HomeART,661.1945737,1090.184377,840.9372071
DW (HIV with ART),HomeART,784.7727695,866.8114622,840.9372071
DW (HIV no ART),HomeART,1012.685967,763.9695589,840.9372071
DSD effect,HomeART,2502.211073,431.5252557,840.9372071
Costing scenario,HomeART,1390.001898,686.6463922,840.9372071
